Make,All,<900,1000,1300,1400,1500,1600,2000,2400,>2400
All makes,168327,881,10210,20204,15272,18800,43824,48599,7407,3130
All other makes,133,24,0,5,3,0,3,17,10,71
Alfa Romeo,120,1,0,7,11,0,35,62,4,0
Audi,8815,0,64,115,169,106,1360,6436,3,562
Austin,3,0,1,2,0,0,0,0,0,0
BMW,7384,37,0,0,0,458,52,6179,8,650
Chevrolet,44,3,11,9,10,0,4,5,1,1
Chrysler,40,0,0,3,1,0,2,10,3,21
Citroen,3801,4,174,191,170,0,2999,249,12,2
Dacia,3696,139,0,358,1,3198,0,0,0,0
Daewoo,4,1,1,1,1,0,0,0,0,0
Daihatsu,19,1,8,7,0,3,0,0,0,0
Dodge,2,0,0,0,0,0,0,2,0,0
Fiat,950,23,0,741,61,1,87,35,2,0
Ford,18657,0,1065,2544,486,1258,9638,3491,135,40
Honda,2862,2,1,82,974,30,1055,310,407,1
Hyundai,12440,0,1478,1554,1311,20,1913,5388,772,4
Jaguar,426,0,0,0,0,0,0,98,252,76
Jeep,78,0,0,0,4,0,42,21,0,11
Kia,6195,0,273,322,1014,67,1157,3097,256,9
Land Rover,1052,0,0,0,0,0,0,90,488,474
Lexus,657,0,0,0,0,0,0,126,56,475
Mazda,3049,0,0,0,326,289,170,197,2064,3
Mercedes Benz,4027,0,0,0,6,506,771,124,2287,333
Mini,1108,0,0,89,62,362,475,120,0,0
Mitsubishi,1123,3,103,96,81,21,258,227,308,26
Nissan,12941,496,53,5016,46,6164,1032,93,12,29
Opel,7350,0,52,717,1961,39,1998,2581,2,0
Peugeot,6062,0,246,596,1091,0,3807,314,7,1
Porsche,127,0,0,0,0,0,0,4,0,123
Renault,7444,109,60,1843,45,4965,275,122,17,8
Rover,42,0,0,6,6,1,2,26,0,1
Saab,286,0,0,0,0,0,0,280,6,0
Seat,3005,0,274,1025,37,34,1091,544,0,0
Skoda,8508,0,942,1499,43,225,4008,1791,0,0
Smart,55,32,18,2,2,1,0,0,0,0
Ssangyong,91,0,0,0,0,0,18,72,0,1
Subaru,231,0,0,0,0,2,39,183,0,7
Suzuki,1200,0,171,335,48,25,588,32,1,0
Toyota,16114,0,3176,284,6601,626,814,4325,178,110
Vauxhall,4919,0,73,796,218,0,141,3675,14,2
Volkswagen,21070,6,1966,1959,483,399,9080,7119,2,56
Volvo,2197,0,0,0,0,0,910,1154,100,33
