Make,cc,Age,Gender,DriveStyle,Serviced,distance,Commute_type
Toyota,1400,45,female,rational,yes,36,highway
Ford,1600,37,male,rational,no,30,urban
Renault,2000,34,male,nervous,no,37,highway
Volvo,1300,21,female,rational,yes,37,highway
Nissan,2000,48,male,speedy,yes,44,urban
Volkswagen,1400,14,male,rational,no,36,highway
Audi,2000,70,female,speedy,no,46,urban
Kia,1600,65,male,rational,yes,27,rural
Citroen,<900,30,female,rational,no,28,highway
Mazda,1600,42,female,speedy,no,42,urban
Seat,1300,56,male,rational,yes,39,highway
Mini,1300,44,female,rational,yes,34,highway
Volkswagen,1000,30,male,rational,yes,32,urban
Vauxhall,1500,53,male,distracted,yes,46,urban
Volkswagen,1400,76,male,slow,yes,32,highway
Mercedes Benz,1600,43,male,distracted,no,27,urban
Peugeot,2000,75,female,rational,no,46,rural
Kia,2400,64,male,rational,yes,49,urban
Volkswagen,1500,34,female,rational,yes,44,highway
Audi,1600,61,female,nervous,no,35,urban
Ford,1600,30,male,rational,no,29,urban
Toyota,2000,42,male,speedy,yes,30,highway
Renault,1600,44,female,speedy,yes,27,urban
Skoda,1300,46,male,rational,yes,32,urban
Nissan,2400,18,female,rational,no,27,highway
Toyota,2000,50,male,speedy,yes,35,highway
Volkswagen,1600,53,male,nervous,yes,30,highway
Ford,1300,62,male,rational,no,40,highway
Toyota,1500,54,male,rational,no,34,highway
Ford,1600,32,male,rational,yes,28,urban
Citroen,1300,28,female,rational,yes,41,urban
Renault,2000,54,male,rational,no,37,urban
Toyota,1500,25,male,rational,yes,30,urban
Nissan,1500,66,female,rational,yes,44,rural
Volkswagen,1500,27,female,distracted,no,48,rural
BMW,1500,61,male,speedy,yes,36,highway
Ford,1300,39,female,rational,no,27,highway
Ford,1300,36,female,speedy,yes,39,highway
Opel,2000,45,male,speedy,yes,33,highway
Opel,1300,61,female,rational,no,25,urban
Kia,1500,43,male,rational,yes,30,urban
Ford,2000,33,female,rational,yes,48,urban
Nissan,2000,53,male,rational,yes,35,highway
Volkswagen,>2400,42,male,rational,yes,40,urban
BMW,2400,45,male,rational,no,30,highway
Opel,1500,59,male,rational,no,28,highway
Toyota,1600,28,male,rational,yes,39,highway
Honda,1600,49,male,rational,yes,44,urban
Volkswagen,1600,29,female,rational,no,46,urban
Renault,2000,67,female,rational,yes,45,highway
Volkswagen,2000,53,female,distracted,yes,37,highway
Ford,1500,42,male,rational,yes,44,highway
Nissan,1500,64,male,slow,yes,31,highway
Mazda,1600,73,female,rational,yes,48,highway
Hyundai,2000,41,male,speedy,yes,30,highway
Seat,1300,46,female,speedy,yes,25,urban
Hyundai,2000,78,female,rational,yes,39,rural
Hyundai,2000,37,male,rational,no,30,highway
Opel,1500,55,male,rational,yes,43,urban
Citroen,1600,39,male,rational,no,40,rural
Volkswagen,1600,46,male,rational,yes,28,highway
BMW,1300,34,male,rational,no,49,highway
Mazda,1000,33,female,nervous,no,29,urban
Nissan,1300,28,female,rational,no,36,urban
Vauxhall,>2400,22,female,rational,yes,30,urban
Kia,2400,31,male,rational,yes,28,highway
Skoda,1600,32,female,rational,no,48,urban
Hyundai,2000,55,male,rational,yes,46,rural
BMW,1500,54,female,distracted,yes,48,urban
Mazda,1500,56,male,rational,no,38,highway
Opel,1600,38,female,speedy,yes,41,urban
Citroen,1300,57,female,rational,yes,32,highway
Honda,1000,28,female,rational,yes,39,highway
Volvo,1300,20,female,speedy,yes,28,urban
Hyundai,1600,32,male,rational,yes,35,urban
Ford,2000,43,female,nervous,yes,33,highway
Nissan,1000,62,male,rational,yes,38,highway
Kia,1300,41,female,speedy,yes,40,highway
Citroen,1300,18,male,rational,yes,34,urban
Ford,1500,40,female,rational,yes,27,rural
BMW,1600,63,male,rational,yes,41,urban
Nissan,1400,67,female,rational,no,31,highway
Peugeot,2000,29,male,speedy,no,29,urban
Mazda,1600,47,female,distracted,yes,46,highway
Renault,2400,64,male,speedy,yes,36,highway
Skoda,2000,38,female,speedy,no,28,highway
Volkswagen,2000,28,male,nervous,yes,35,urban
Dacia,1300,12,male,distracted,yes,31,urban
Dacia,1500,30,female,rational,no,43,urban
Toyota,1400,44,female,speedy,yes,48,highway
Honda,1600,21,male,rational,no,42,urban
Volkswagen,2000,43,male,speedy,yes,29,highway
Nissan,2000,47,male,rational,yes,32,highway
Mercedes Benz,1300,64,female,rational,yes,26,highway
Ford,2400,51,male,rational,yes,34,highway
Skoda,2000,50,female,rational,yes,49,urban
Citroen,2400,40,female,rational,no,27,highway
Nissan,<900,43,female,rational,yes,28,urban
Skoda,1600,55,female,speedy,yes,31,rural
Audi,1400,68,female,rational,no,39,highway
Hyundai,1500,23,male,distracted,no,43,urban
Porsche,1600,30,female,rational,no,32,urban
Dacia,1600,43,female,speedy,yes,40,highway
Nissan,1400,60,male,speedy,yes,36,highway
Dacia,2000,30,male,distracted,yes,46,highway
Skoda,1600,39,male,rational,no,39,highway
Volkswagen,1600,39,female,rational,no,48,highway
Toyota,2000,56,female,rational,yes,40,highway
Ford,2400,46,male,speedy,yes,49,urban
Skoda,1600,58,female,speedy,no,47,rural
Skoda,1300,21,female,rational,no,42,highway
Toyota,1600,24,male,rational,yes,29,highway
Hyundai,2000,28,male,distracted,yes,29,highway
Skoda,1500,43,male,speedy,no,49,urban
Toyota,1000,65,male,rational,no,35,highway
Mazda,2000,58,male,rational,yes,34,highway
Hyundai,1600,64,male,rational,yes,30,highway
Kia,2400,41,male,rational,yes,33,highway
Opel,1600,53,female,rational,yes,31,highway
Dacia,2000,65,female,rational,yes,49,urban
Audi,2000,25,female,speedy,no,41,urban
Ford,1600,28,male,rational,yes,39,highway
Ford,2000,64,male,rational,yes,43,highway
Kia,1300,30,male,rational,yes,26,urban
Toyota,2000,28,male,rational,yes,42,urban
Toyota,1500,28,male,rational,yes,48,urban
Hyundai,2000,25,female,nervous,yes,45,urban
Dacia,2000,38,male,rational,yes,38,rural
Nissan,1500,29,male,rational,no,25,highway
Mercedes Benz,1600,50,female,slow,yes,46,urban
Ford,2000,16,female,slow,yes,34,urban
Renault,1400,24,male,rational,no,30,urban
Hyundai,2400,28,female,speedy,no,25,highway
Opel,2000,44,female,rational,yes,44,highway
Kia,1600,28,male,speedy,yes,49,highway
Nissan,1600,43,male,speedy,no,37,highway
Hyundai,1300,63,female,distracted,yes,43,highway
Audi,2000,27,male,rational,yes,27,urban
Hyundai,2000,65,female,nervous,no,45,highway
Toyota,1500,40,male,rational,yes,42,urban
Land Rover,1000,84,male,speedy,yes,43,urban
Volkswagen,1400,58,female,distracted,no,33,urban
Dacia,1000,45,female,distracted,no,39,highway
Mercedes Benz,2000,33,male,rational,yes,29,highway
Ford,1600,23,female,rational,yes,39,urban
Ford,1400,71,male,rational,yes,34,highway
Peugeot,1300,12,male,speedy,yes,42,rural
Porsche,1600,71,male,rational,yes,35,highway
Renault,1000,29,male,rational,yes,32,urban
BMW,1500,33,male,rational,no,39,highway
Mercedes Benz,1500,19,female,rational,no,42,highway
Kia,1500,49,male,nervous,yes,47,highway
Opel,1600,18,female,speedy,no,40,urban
Fiat,2400,52,female,speedy,yes,46,urban
Nissan,2000,66,male,rational,yes,44,urban
Volkswagen,1400,64,female,rational,no,31,urban
Toyota,1600,39,male,speedy,yes,36,urban
Toyota,1300,44,female,rational,yes,29,urban
Opel,2000,28,female,rational,yes,33,highway
Volkswagen,1600,44,female,slow,no,39,highway
Hyundai,1400,71,female,rational,yes,27,highway
Hyundai,1500,23,male,nervous,no,32,urban
