Make,cc,Age,Gender,DriveStyle,Serviced,Daily_commute,Commute_type,mpg,l_day
Volkswagen,1600,52,male,rational,no,24,urban,36.74922417075,3.673546940004553
Ford,2000,58,female,rational,yes,48,urban,31.110799999999998,8.67865821515358
Volkswagen,1600,32,male,rational,yes,43,urban,40.832924999999996,5.923528623041332
Nissan,1600,32,female,speedy,yes,42,urban,34.999649999999995,6.750067500675007
Peugeot,2000,62,male,speedy,yes,20,highway,38.219958000000005,2.943488320944779
Ford,1500,37,female,rational,yes,21,urban,41.48106666666666,2.8476847268472683
Land Rover,2500,41,female,rational,yes,43,highway,32.35552,7.4755404950994455
Seat,1500,42,female,speedy,yes,31,urban,37.33296,4.670805636627795
Suzuki,1300,34,male,speedy,yes,27,highway,58.79993538461538,2.582911001629044
Vauxhall,1600,51,male,rational,yes,36,highway,53.083275,3.814760863944435
Audi,1600,27,male,distracted,no,39,urban,36.74922417075,5.969513777507398
Skoda,2000,26,female,rational,no,42,highway,36.399555556,6.490463863948393
Opel,1300,22,male,rational,no,30,highway,58.799282051999995,2.8699330010656166
Volkswagen,1600,41,female,nervous,yes,38,highway,53.083275,4.026692023052459
Hyundai,1600,42,male,distracted,yes,29,urban,40.832924999999996,3.9949379085627594
Mazda,1600,45,male,rational,yes,41,rural,47.2499475,4.880957804238831
Ford,2000,43,male,speedy,yes,31,highway,38.219958000000005,4.562406897464407
Honda,2000,31,female,slow,yes,44,highway,40.4444,6.119512219244196
Citroen,1400,56,female,rational,no,26,urban,39.99915556,3.6563271887232816
Toyota,2000,41,female,speedy,no,23,rural,29.15964360036,4.4367826223501154
Ford,2000,53,female,speedy,yes,47,highway,36.39996,7.2630574319312435
Nissan,1600,43,male,nervous,yes,38,highway,55.737438749999995,3.8349447838594846
Hyundai,2400,31,male,rational,yes,32,highway,35.388850000000005,5.086347818592579
Nissan,1600,44,female,rational,yes,35,urban,38.8885,5.062550625506255
Ford,1600,66,female,rational,yes,42,urban,38.8885,6.075060750607506
Mazda,1300,41,female,rational,no,49,highway,55.99931624,4.921935096827532
Renault,1000,37,male,rational,yes,41,highway,84.93324,2.715367976071559
Ford,2000,48,female,rational,yes,48,urban,31.110799999999998,8.67865821515358
Peugeot,1300,27,female,rational,yes,20,urban,47.86276923076923,2.350469933270761
Opel,1300,36,male,rational,yes,25,urban,50.25590769230769,2.7981784919890016
Toyota,1600,58,male,rational,no,46,highway,47.774416667249994,5.416078689190496
Skoda,1600,28,female,distracted,yes,40,urban,38.8885,5.785772143435719
Hyundai,1400,65,male,distracted,no,43,rural,48.5994060006,4.9769126807231725
Audi,1000,71,male,speedy,yes,32,rural,68.0399244,2.6455055849532956
Toyota,2000,24,male,speedy,yes,22,highway,38.219958000000005,3.2378371530392567
Renault,2000,37,female,rational,no,36,urban,27.999408891999998,7.232295538133963
Nissan,1400,27,male,nervous,yes,34,highway,63.69993,3.002358087363675
Volkswagen,1600,73,male,rational,yes,45,highway,53.083275,4.768451079930544
Seat,1600,27,male,speedy,yes,40,urban,36.7496325,6.122510204693884
Volkswagen,2000,35,female,speedy,yes,38,highway,36.39996,5.8722592002848355
Skoda,1600,29,male,rational,yes,45,highway,53.083275,4.768451079930544
Volkswagen,1400,41,female,rational,yes,33,urban,44.444,4.17660426604266
Ford,2000,58,male,rational,yes,37,highway,42.46662,4.900908054373058
Fiat,2500,43,female,speedy,yes,25,highway,29.119968,4.829160526550028
Skoda,1300,29,female,rational,yes,45,highway,62.222153846153844,4.068084827565745
Skoda,1500,31,male,rational,no,33,highway,50.9593777784,3.6426072705832824
Nissan,1600,30,female,rational,yes,38,urban,38.8885,5.496483536263933
Mercedes Benz,2000,43,male,rational,yes,49,highway,42.46662,6.490391747683239
Nissan,2400,59,female,rational,yes,39,highway,33.70366666666667,6.50893572410519
Volkswagen,1600,33,male,rational,yes,26,highway,53.083275,2.755105068404314
Peugeot,1600,33,female,nervous,no,48,rural,42.524480250524995,6.349283951487371
BMW,2000,50,female,rational,no,32,urban,27.999408891999998,6.428707145007968
Dacia,1500,42,male,distracted,yes,36,highway,56.622159999999994,3.5763383099479076
Ford,1600,64,female,rational,no,23,rural,40.4995050005,3.1944834880920827
Volkswagen,1600,73,male,speedy,no,31,urban,33.074301753674995,5.272220145376905
Hyundai,2400,58,male,rational,no,45,rural,28.349653500350005,8.928680556779112
Volkswagen,1300,23,male,rational,yes,43,urban,50.25590769230769,4.812867006221083
Skoda,1600,35,male,speedy,no,27,urban,33.074301753674995,4.591933675005691
Land Rover,1500,50,male,rational,yes,34,urban,43.555119999999995,4.3909877874288945
Audi,1400,60,female,speedy,no,40,urban,35.999240003999994,6.250131946535523
Hyundai,2000,31,female,rational,yes,21,urban,31.110799999999998,3.796912969129692
Nissan,1600,31,male,speedy,yes,31,highway,47.774947499999996,3.649925517971527
Hyundai,2500,43,female,speedy,no,29,highway,26.20768000032,6.224320504447864
Ford,2400,58,male,rational,yes,29,highway,35.388850000000005,4.609502710599524
Ford,1500,26,female,rational,yes,24,urban,41.48106666666666,3.254496830682592
Toyota,1600,52,male,rational,yes,41,highway,53.083275,4.344588761714495
Nissan,1500,32,female,nervous,yes,25,highway,56.622159999999994,2.483568270797158
Mazda,1300,30,male,rational,no,46,urban,45.229814364,5.720784036777922
Volkswagen,2400,39,female,rational,yes,44,urban,25.925666666666668,9.546524036668938
Mini,2400,73,male,rational,no,29,highway,31.849611111500003,5.1217265865170996
Toyota,1600,31,male,speedy,no,42,highway,42.996975000525,5.494572583236735
Ford,1400,23,female,speedy,no,46,highway,46.799428572,5.528913661881966
Kia,1600,53,male,rational,yes,41,highway,53.083275,4.344588761714495
Toyota,2000,39,female,rational,yes,47,urban,31.110799999999998,8.497852835671216
Skoda,2000,44,female,nervous,yes,21,urban,32.66634,3.6161075896473247
Skoda,1300,16,female,rational,no,43,rural,49.845544616,4.8524898637050935
Mercedes Benz,1400,62,female,speedy,yes,22,urban,39.9996,3.093780937809378
BMW,2000,54,male,distracted,no,41,urban,29.3993793366,7.844553361468053
Toyota,1500,21,male,distracted,no,33,urban,39.1991724488,4.735431602349618
Skoda,1400,33,female,nervous,yes,49,highway,60.6666,4.543274223378267
Ford,2000,47,female,nervous,no,38,rural,34.01958420042,6.283145576992709
Dacia,1400,44,male,speedy,yes,49,urban,41.99958,6.562565625656256
Nissan,2400,36,male,speedy,no,22,highway,28.664650000350004,4.317164172543149
Honda,1300,61,female,rational,yes,27,urban,47.86276923076923,3.1731344099155274
Ford,1400,42,male,rational,no,30,urban,41.999113338,4.017941965629979
BMW,1000,50,male,rational,no,35,highway,76.43906666759999,2.57558089839222
Mazda,2500,54,female,rational,no,36,urban,22.399527113599998,9.040369422667453
Vauxhall,1000,30,female,rational,yes,28,urban,62.221599999999995,2.531275312753128
Toyota,1600,34,male,speedy,yes,32,urban,36.7496325,4.898008163755107
Alfa Romeo,1600,40,male,speedy,yes,28,highway,47.774947499999996,3.2967069194581535
